1:69511:69511	NM_001005484
1:881627:881627	NM_015658
1:883899:883899	NM_015658
1:887801:887801	NM_015658
1:888639:888639	NM_015658
1:888659:888659	NM_015658
1:907758:907758	NM_001160184
1:949654:949654	NM_005101
1:981931:981931	NM_198576
1:984302:984302	NM_198576
1:990280:990280	NM_198576
1:1249187:1249187	NM_001256462
1:1254841:1254841	NM_001256460
1:1254841:1254841	NM_017871
1:1262966:1262966	NM_001029885
1:1269554:1269554	NM_152228
1:1423281:1423281	NM_031921
1:1551927:1551927	NM_001170687
1:1599812:1599812	NM_001110781
1:1599888:1599888	NM_001110781
1:1650787:1650787	NM_024011
1:1666175:1666175	NM_001199787
1:1666251:1666251	NM_001199787
1:1670958:1670958	NM_001199787
1:1686040:1686040	NM_023018
1:2340073:2340073	NM_153818
1:2340200:2340200	NM_153818
1:2444414:2444414	NM_018216
1:2452569:2452569	NM_018216
1:2488153:2488153	NM_003820
1:2494330:2494330	NM_003820
1:2573199:2573199	NM_001242672
1:2938265:2938265	NM_080431
1:2938569:2938569	NM_080431
1:2938697:2938697	NM_080431
1:2938924:2938924	NM_080431
1:3383898:3383898	NM_014448
1:3394456:3394456	NM_014448
1:3395039:3395039	NM_014448
1:3397062:3397062	NM_014448
1:3421897:3421897	NM_001409
1:3424388:3424388	NM_001409
1:3428160:3428160	NM_001409
1:3428608:3428608	NM_001409
1:3496479:3496479	NM_001409
1:3511934:3511934	NM_001409
1:3548136:3548136	NM_017818
1:3548832:3548832	NM_017818
1:3638674:3638674	NM_001204188
1:3669201:3669201	NM_152492
1:3669205:3669205	NM_152492
1:3677933:3677933	NM_152492
1:3679775:3679775	NM_152492
1:3703710:3703710	NM_020710
1:3753136:3753136	NM_014704
1:3755675:3755675	NM_014704
1:3761479:3761479	NM_014704
1:3800242:3800242	NM_004402
1:3807593:3807593	NM_207356
1:4772053:4772053	NM_001042478
1:4772717:4772717	NM_001042478
1:6111721:6111721	NM_001199862
1:6158562:6158562	NM_001199860
1:6184092:6184092	NM_015557
1:6209363:6209363	NM_015557
1:6211183:6211183	NM_015557
1:6215736:6215736	NM_015557
1:6273206:6273206	NM_207396
1:6278414:6278414	NM_207396
1:6279370:6279370	NM_207396
1:6314822:6314822	NM_207370
1:6614391:6614391	NM_024654
1:6635231:6635231	NM_138697
1:6693097:6693097	NM_001195753
1:7870048:7870048	NM_016831
1:7887248:7887248	NM_016831
1:7889941:7889941	NM_016831
1:7890026:7890026	NM_016831
1:7913430:7913430	NM_021995
1:8418644:8418644	NM_012102
1:8418650:8418650	NM_012102
1:8421203:8421203	NM_012102
1:8425900:8425900	NM_012102
1:9009406:9009406	NM_001215
1:9009444:9009444	NM_001215
1:9064838:9064838	NM_207420
1:9165685:9165685	NM_024980
1:9670834:9670834	NM_001130924
1:9796038:9796038	NM_014944
1:10460485:10460485	NM_002631
1:10473196:10473196	NM_002631
1:10705110:10705110	NM_001079843
1:10708142:10708142	NM_001079843
1:10713765:10713765	NM_001079843
1:10725498:10725498	NM_001079843
1:11087524:11087524	NM_006610
1:11090916:11090916	NM_006610
1:11119899:11119899	NM_003132
1:11132217:11132217	NM_002685
1:11141187:11141187	NM_002685
1:11205058:11205058	NM_004958
1:11288758:11288758	NM_004958
1:11301714:11301714	NM_004958
1:11561593:11561593	NM_020780
1:11579470:11579470	NM_020780
1:11728894:11728894	NM_018438
1:11771988:11771988	NM_198545
1:11884555:11884555	NM_001286
1:12175729:12175729	NM_001243
1:12198297:12198297	NM_001243
1:12248942:12248942	NM_001066
1:12252955:12252955	NM_001066
1:12401868:12401868	NM_018156
1:12638964:12638964	NM_004753
1:12779560:12779560	NM_001103170
1:12779618:12779618	NM_001103170
1:12854068:12854068	NM_023013
1:12854090:12854090	NM_023013
1:12854097:12854097	NM_023013
1:12854188:12854188	NM_023013
1:12854356:12854356	NM_023013
1:12854414:12854414	NM_023013
1:12854474:12854474	NM_023013
1:12854479:12854479	NM_023013
1:12855835:12855835	NM_023013
1:12855845:12855845	NM_023013
1:12856010:12856010	NM_023013
1:12856079:12856079	NM_023013
1:12856111:12856111	NM_023013
1:12887549:12887549	NM_001146344
1:12907282:12907282	NM_001013631
1:12907284:12907284	NM_001013631
1:12907285:12907285	NM_001013631
1:12907316:12907316	NM_001013631
1:12907350:12907350	NM_001013631
1:12907351:12907351	NM_001013631
1:12907370:12907370	NM_001013631
1:12907379:12907379	NM_001013631
1:12907777:12907777	NM_001013631
1:12907781:12907781	NM_001013631
1:12907798:12907798	NM_001013631
1:12907802:12907802	NM_001013631
1:12907803:12907803	NM_001013631
1:12921600:12921600	NM_023014
1:12942119:12942119	NM_001009611
1:13001186:13001186	NM_001010889
1:13448084:13448084	NM_001024661
1:13448283:13448283	NM_001024661
1:13695685:13695685	NM_001099790
1:13695974:13695974	NM_001099790
1:13696022:13696022	NM_001099790
1:13696029:13696029	NM_001099790
1:13696047:13696047	NM_001099790
1:13696054:13696054	NM_001099790
1:14106394:14106394	NM_012231
1:14143003:14143003	NM_001135610
1:15497727:15497727	NM_001278502
1:15616139:15616139	NM_052929
1:15653563:15653563	NM_052929
1:15655944:15655944	NM_052929
1:15668276:15668276	NM_052929
1:15708540:15708540	NM_052929
1:15812432:15812432	NM_015849
1:15813836:15813836	NM_015849
1:16096934:16096934	NM_001024216
1:16256007:16256007	NM_015001
1:16265904:16265904	NM_015001
1:16344360:16344360	NM_014424
1:16344402:16344402	NM_014424
1:16374533:16374533	NM_000085
1:16375063:16375063	NM_000085
1:16375064:16375064	NM_000085
1:16375510:16375510	NM_001165945
1:16376191:16376191	NM_000085
1:16377999:16377999	NM_000085
1:16378000:16378000	NM_000085
1:16378215:16378215	NM_000085
1:16378725:16378725	NM_000085
1:16380196:16380196	NM_000085
1:16380243:16380243	NM_000085
1:16380252:16380252	NM_000085
1:16386447:16386447	NM_182623
1:16388646:16388646	NM_182623
1:16464673:16464673	NM_004431
1:16577908:16577908	NM_018994
1:16736132:16736132	NM_198546
1:16890441:16890441	NM_017940
1:16890484:16890484	NM_017940
1:16890639:16890639	NM_017940
1:16890644:16890644	NM_017940
1:16890671:16890671	NM_017940
1:16890672:16890672	NM_017940
1:16895634:16895634	NM_017940
1:16901710:16901710	NM_017940
1:16901714:16901714	NM_017940
1:16902884:16902884	NM_017940
1:16902894:16902894	NM_017940
1:16903912:16903912	NM_017940
1:16907328:16907328	NM_017940
1:16909052:16909052	NM_017940
1:16909100:16909100	NM_017940
1:16909129:16909129	NM_017940
1:16914252:16914252	NM_017940
1:16915434:16915434	NM_017940
1:16918465:16918465	NM_017940
1:16918502:16918502	NM_017940
1:17248532:17248532	NM_014675
1:17275337:17275337	NM_014675
1:17282573:17282573	NM_014675
1:17287414:17287414	NM_014675
1:17295679:17295679	NM_014675
1:17301780:17301780	NM_001135247
1:17301780:17301780	NM_017459
1:17312592:17312592	NM_001141974
1:17313654:17313654	NM_001141974
1:17314942:17314942	NM_001141974
1:17319011:17319011	NM_001141974
1:17380497:17380497	NM_003000
1:17396703:17396703	NM_007365
1:17402255:17402255	NM_007365
1:17405809:17405809	NM_007365
1:17555508:17555508	NM_013358
1:17609448:17609448	NM_016233
1:17739586:17739586	NM_001136204
1:17991052:17991052	NM_018125
1:18023365:18023365	NM_018125
1:18023690:18023690	NM_018125
1:18149510:18149510	NM_030812
1:18149566:18149566	NM_030812
1:18152582:18152582	NM_030812
1:18807536:18807536	NM_152375
1:18807620:18807620	NM_152375
1:18807755:18807755	NM_152375
1:18807781:18807781	NM_152375
1:18807897:18807897	NM_152375
1:18808292:18808292	NM_152375
1:18808465:18808465	NM_152375
1:19027239:19027239	NM_001135254
1:19175846:19175846	NM_152232
1:19181015:19181015	NM_152232
1:19181082:19181082	NM_152232
1:19181393:19181393	NM_152232
1:19184077:19184077	NM_152232
1:19186129:19186129	NM_152232
1:19201956:19201956	NM_170726
1:19202896:19202896	NM_170726
1:19202917:19202917	NM_170726
1:19202926:19202926	NM_170726
1:19203997:19203997	NM_170726
1:19282309:19282309	NM_001136265
1:19585207:19585207	NM_016183
1:19611241:19611241	NM_012067
1:19612477:19612477	NM_012067
1:19950062:19950062	NM_001032363
1:19950062:19950062	NM_001204082
1:19950062:19950062	NM_001204083
1:20140973:20140973	NM_019062
1:20141283:20141283	NM_019062
1:20141528:20141528	NM_019062
1:20224152:20224152	NM_015207
1:20442054:20442054	NM_012400
1:20501670:20501670	NM_001105572
1:20827216:20827216	NM_024544
